id_ikan_tangkapan;nama_ikan_tangkapan
1;BABY TUNA
2;TUNA
3;CAKALANG MINI
4;CAKALANG
5;LAYANG KECIL
6;LAYANG
7;LAYANG BESAR
8;TONGKOL KECIL
9;TONGKOL
10;LAURA
11;LAURA BESAR
12;TENGGIRI
13;CUMI KECIL
14;CUMI BESAR
15;LEMADANG
16;BARAKUDA
17;HIU
18;KAKAP
19;KANANG
20;MARLIN
21;MARLIN GEPENG
22;POGOT
23;TEPUNGAN
